route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
001,109.0.1,1040836,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398685,56205,0,0
001,109.0.1,1040837,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398684,56203,0,0
001,109.0.1,1040838,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398683,56205,0,0
001,109.0.1,1040840,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398681,56204,0,0
001,109.0.1,1040839,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398682,56205,0,0
001,109.0.1,1040841,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398680,56203,0,0
001,109.0.1,1040899,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398689,56210,0,0
001,109.0.1,1040905,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398693,56210,0,0
001,109.0.1,1040898,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398692,56211,0,0
001,109.0.1,1040906,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398695,56210,0,0
001,109.0.1,1040897,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398694,56211,0,0
001,109.0.1,1040907,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398686,56210,0,0
001,109.0.1,1040896,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398696,56211,0,0
001,109.0.1,1040895,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398684,56210,0,0
001,109.0.1,1040894,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398688,56211,0,0
001,109.0.1,1040893,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398681,56210,0,0
001,109.0.1,1040892,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398687,56211,0,0
001,109.0.1,1040891,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398691,56210,0,0
001,109.0.1,1040890,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398685,56211,0,0
001,109.0.1,1040889,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398689,56210,0,0
001,109.0.1,1040888,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398692,56211,0,0
001,109.0.1,1040887,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398693,56210,0,0
001,109.0.1,1040886,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398694,56211,0,0
001,109.0.1,1040885,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398695,56210,0,0
001,109.0.1,1040884,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398696,56211,0,0
001,109.0.1,1040883,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398686,56210,0,0
001,109.0.1,1040882,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398688,56211,0,0
001,109.0.1,1040881,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398684,56210,0,0
001,109.0.1,1040880,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398687,56211,0,0
001,109.0.1,1040879,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398681,56210,0,0
001,109.0.1,1040878,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398685,56211,0,0
001,109.0.1,1040877,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398680,56210,0,0
001,109.0.1,1040876,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398697,56211,0,0
001,109.0.1,1040875,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398692,56210,0,0
001,109.0.1,1040874,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398689,56211,0,0
001,109.0.1,1040873,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398694,56210,0,0
001,109.0.1,1040872,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398693,56211,0,0
001,109.0.1,1040871,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398696,56210,0,0
001,109.0.1,1040870,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398695,56211,0,0
001,109.0.1,1040869,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398688,56210,0,0
001,109.0.1,1040868,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398686,56211,0,0
001,109.0.1,1040867,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398687,56210,0,0
001,109.0.1,1040866,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398684,56211,0,0
001,109.0.1,1040865,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398685,56210,0,0
001,109.0.1,1040864,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398681,56211,0,0
001,109.0.1,1040863,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398697,56210,0,0
001,109.0.1,1040862,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398680,56211,0,0
001,109.0.1,1040861,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398689,56210,0,0
001,109.0.1,1040860,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398692,56211,0,0
001,109.0.1,1040859,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398693,56210,0,0
001,109.0.1,1040858,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398694,56211,0,0
001,109.0.1,1040857,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398695,56210,0,0
001,109.0.1,1040856,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398696,56211,0,0
001,109.0.1,1040855,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398686,56210,0,0
001,109.0.1,1040854,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398688,56211,0,0
001,109.0.1,1040853,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398684,56210,0,0
001,109.0.1,1040852,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398687,56211,0,0
001,109.0.1,1040851,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398681,56210,0,0
001,109.0.1,1040850,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398685,56211,0,0
001,109.0.1,1040849,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398680,56210,0,0
001,109.0.1,1040848,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398683,56211,0,0
001,109.0.1,1040847,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398682,56210,0,0
001,109.0.1,1040846,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398689,56211,0,0
001,109.0.1,1040904,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398693,56210,0,0
001,109.0.1,1040903,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398696,56211,0,0
001,109.0.1,1040902,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398695,56210,0,0
001,109.0.1,1040901,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398688,56211,0,0
001,109.0.1,1040900,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398686,56210,0,0
001,109.0.1,1040844,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398687,56211,0,0
001,109.0.1,1040843,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398684,56210,0,0
001,109.0.1,1040842,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398685,56211,0,0
001,109.0.1,1040845,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398681,56209,0,0
001,109.0.1,1040908,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398683,56211,0,0
001,109.0.1,1040909,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398680,56210,0,0
001,109.0.1,1040910,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398682,56211,0,0
001,109.0.1,1040911,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398696,56209,0,0
001,109.0.1,1040912,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398689,56211,0,0
001,109.0.1,1040914,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,,1,398693,56210,0,0
001,109.0.1,1040913,1 LIVINGSTON OLENTANGY TO RIVERSIDE HOSPITAL,,1,398688,56211,0,0
